items,@timestamp,serialnumber,type
am04-c3560x-3c.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1320Z4QC,Serial_int
am04-C4507-trng.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX1524GQDD,Serial_int
il01-c3560x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1528V0UJ,Serial_int
il01-c3560x-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1528Z0K1,Serial_int
ru20-c3750-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FCZ14217124,Serial_int
nl20-c3560x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1542V1P7,Serial_int
nl20-c3560x-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1533R0TQ,Serial_int
nl20-c3560x-3.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1542P1S3,Serial_int
nl20-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2036W0RH,Serial_int
nl20-crypto-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FTX1651A1D6,Serial_int
nl20-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2204W09A,Serial_int
de04-c3560x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1630P1N3,Serial_int
de04-c3560x-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1640X0KN,Serial_int
de04-c3560x-3.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1643Z1JW,Serial_int
fr65-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC2204D1A5,Serial_int
fr65-c3560x-1,2020-12-12 14:30:13.203156,FDO1644H0E2,Serial_int
fr65-c3560x-2,2020-12-12 14:30:13.203156,FDO1819Z12J,Serial_int
fr65-c3560x-3,2020-12-12 14:30:13.203156,FDO1652H18Q,Serial_int
mdc-n5596-1a.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX1924H9H9,Serial_int
mdc-n5596-1b.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX1726GT94,Serial_int
de06-c3560x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1640H07C,Serial_int
de06-c3560x-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1640X0TL,Serial_int
pl01-c3750x-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1712H222,Serial_int
pt02-c3560x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1814H044,Serial_int
fr65-c3560x-4.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1811Z1JG,Serial_int
mdc-c3750x-03.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1442P0B4,Serial_int
mdc-c3750x-1,2020-12-12 14:30:13.203156,FDO1723P07L,Serial_int
am04-c3560x-trng,2020-12-12 14:30:13.203156,FDO1713Z0Q1,Serial_int
pt01-c3750x-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1434K05Z,Serial_int
tw04-c4507-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX103901GF,Serial_int
tw04-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2201A187,Serial_int
